11,北京,北京,京,1,0,99,0,1,11,北京
4401,广东广州,广州,粤A,20,6,4,0,1,44,广东
4501,广西南宁,南宁,桂A,99,6,0,0,1,45,广西
31,上海,上海,沪,10,0,99,0,1,31,上海
12,天津,天津,津,40,0,6,0,0,12,天津
4301,湖南长沙,长沙,湘A,70,0,6,0,1,43,湖南
4201,湖北武汉,武汉,鄂A,57,6,0,0,1,42,湖北
4101,河南郑州,郑州,豫A,73,99,6,0,1,41,河南
1301,河北石家庄,石家庄,冀A,76,4,0,0,1,13,河北
3201,江苏南京,南京,苏A,55,0,6,0,1,32,江苏
3301,浙江杭州,杭州,浙A,50,6,0,0,1,33,浙江
3601,江西南昌,南昌,赣A,83,6,6,0,1,36,江西
5101,四川成都,成都,川A,59,6,6,0,1,51,四川
5201,贵州贵阳,贵阳,贵A,107,6,6,0,1,52,贵州
3401,安徽合肥,合肥,皖A,56,6,0,0,1,34,安徽
3701,山东济南,济南,鲁A,96,6,0,0,1,37,山东
1401,山西太原,太原,晋A,101,6,0,0,1,14,山西
2101,辽宁沈阳,沈阳,辽A,66,6,6,0,1,21,辽宁
2201,吉林长春,长春,吉A,116,4,0,0,1,22,吉林
3502,福建厦门,厦门,闽D,62,6,6,0,1,35,福建
50,重庆,重庆,渝,45,6,0,0,1,50,重庆
6301,青海西宁,西宁,青A,374,99,6,0,1,63,青海
5301,云南昆明,昆明,云A,114,6,6,0,1,53,云南
4601,海南海口,海口,琼A,94,6,0,0,1,46,海南
6101,陕西西安,西安,陕A,42,0,99,0,1,61,陕西
6201,甘肃兰州,兰州,甘A,361,99,6,0,1,62,甘肃
2301,黑龙江哈尔滨,哈尔滨,黑A,105,99,6,0,1,23,黑龙江
1508,内蒙古巴彦淖尔盟,巴彦淖尔盟,蒙L,146,6,6,0,0,15,内蒙古
6501,新疆乌鲁木齐,乌鲁木齐,新A,387,6,6,0,1,65,新疆
5401,西藏拉萨,拉萨,藏A,345,0,0,0,0,54,西藏
4403,广东深圳,深圳,粤B,30,6,4,0,1,,
4302,湖南株洲,株洲,湘B,263,0,6,0,1,,
4202,湖北黄石,黄石,鄂B,250,6,0,0,1,,
4102,河南开封,开封,豫B,235,99,99,0,1,,
1302,河北唐山,唐山,冀B,121,4,0,0,1,,
3202,江苏无锡,无锡,苏B,52,0,6,0,1,,
3302,浙江宁波,宁波,浙B,51,6,0,0,0,,
3607,江西赣州,赣州,赣B,217,6,6,0,1,,
5107,四川绵阳,绵阳,川B,306,6,6,0,1,,
5202,贵州六盘水,六盘水,贵B,322,6,6,0,1,,
3402,安徽芜湖,芜湖,皖B,102,6,0,0,1,,
3702,山东青岛,青岛,鲁B,60,6,4,0,1,,
1402,山西大同,大同,晋B,129,6,0,0,1,,
2102,辽宁大连,大连,辽B,65,6,6,0,1,,
2202,吉林吉林,吉林,吉B,161,4,0,0,1,,
6321,青海海东地区,海东地区,青B,375,99,6,0,1,,
5306,云南昭通,昭通,云C,333,6,6,0,1,,
4602,海南三亚,三亚,琼B,111,6,0,0,1,,
6103,陕西宝鸡,宝鸡,陕C,353,4,99,0,0,,
6202,甘肃嘉峪关,嘉峪关,甘B,409,99,6,0,1,,
2302,黑龙江齐齐哈尔,齐齐哈尔,黑B,109,99,6,0,1,,
6523,新疆昌吉回族自治州,昌吉回族自治州,新B,391,6,6,0,1,,
5421,西藏昌都地区,昌都地区,藏B,346,0,0,0,0,,
4404,广东珠海,珠海,粤C,108,6,4,0,1,,
4303,湖南湘潭,湘潭,湘C,264,0,6,0,1,,
4203,湖北十堰,十堰,鄂C,251,6,0,0,1,,
4103,河南洛阳,洛阳,豫C,236,6,99,0,1,,
1303,河北秦皇岛,秦皇岛,冀C,122,4,0,0,1,,
3203,江苏徐州,徐州,苏C,119,0,6,0,1,,
3306,浙江绍兴,绍兴,浙D,187,6,6,0,0,,
3609,江西宜春,宜春,赣C,219,6,6,0,1,,
5103,四川自贡,自贡,川C,302,6,6,0,1,,
5203,贵州遵义,遵义,贵C,323,6,6,0,1,,
3403,安徽蚌埠,蚌埠,皖C,88,6,0,0,1,,
3703,山东淄博,淄博,鲁C,81,6,0,0,1,,
1403,山西阳泉,阳泉,晋C,130,6,0,0,1,,
2103,辽宁鞍山,鞍山,辽C,151,6,6,0,1,,
2203,吉林四平,四平,吉C,162,4,0,0,1,,
6322,青海海北藏族自治州,海北藏族自治州,青C,376,99,6,0,1,,
5303,云南曲靖,曲靖,云D,330,6,6,0,1,,
469002,海南琼海,琼海,琼C,418,6,0,0,1,,
6125,陕西杨凌高新农业示范区,杨凌高新农业示范区,陕V,,0,99,0,0,,
6203,甘肃金昌,金昌,甘C,362,99,6,0,1,,
2310,黑龙江牡丹江,牡丹江,黑C,175,99,6,0,1,,
659001,新疆石河子,石河子,新C,408,6,6,0,1,,
5422,西藏山南地区,山南地区,藏C,347,0,0,0,0,,
4405,广东汕头,汕头,粤D,117,6,4,0,1,,
4304,湖南衡阳,衡阳,湘D,265,0,6,0,1,,
4210,湖北荆州,荆州,鄂D,257,6,0,0,1,,
4104,河南平顶山,平顶山,豫D,237,6,6,0,1,,
1304,河北邯郸,邯郸,冀D,123,4,0,0,1,,
3204,江苏常州,常州,苏D,89,0,6,0,1,,
3305,浙江湖州,湖州,浙E,186,6,0,0,0,,
3608,江西吉安,吉安,赣D,218,6,6,0,1,,
5104,四川攀枝花,攀枝花,川D,303,6,6,0,1,,
5206,贵州铜仁,铜仁,贵D,325,6,6,0,1,,
3404,安徽淮南,淮南,皖D,193,6,0,0,1,,
3704,山东枣庄,枣庄,鲁D,222,6,4,0,1,,
1404,山西长治,长治,晋D,131,6,0,0,1,,
2105,辽宁本溪,本溪,辽E,153,6,6,0,1,,
2204,吉林辽源,辽源,吉D,163,4,0,0,1,,
6323,青海黄南藏族自治州,黄南藏族自治州,青D,377,99,6,0,1,,
5323,云南楚雄彝族自治州,楚雄彝族自治州,云E,337,6,6,0,1,,
469001,海南五指山,五指山,琼D,,6,0,0,1,,
6204,甘肃白银,白银,甘D,363,99,6,0,1,,
2308,黑龙江佳木斯,佳木斯,黑D,173,99,6,0,1,,
654003,新疆奎屯,奎屯,新D,643,6,6,0,1,,
5423,西藏日喀则地区,日喀则地区,藏D,348,0,0,0,0,,
4406,广东佛山,佛山,粤E,92,6,4,0,1,,
4305,湖南邵阳,邵阳,湘E,266,0,6,0,1,,
4205,湖北宜昌,宜昌,鄂E,252,6,0,0,1,,
4105,河南安阳,安阳,豫E,238,6,6,0,1,,
1305,河北邢台,邢台,冀E,124,4,0,0,1,,
3205,江苏苏州,苏州,苏E,80,0,6,0,1,,
3304,浙江嘉兴,嘉兴,浙F,185,99,99,0,0,,
3611,江西上饶,上饶,赣E,221,6,6,0,1,,
5105,四川泸州,泸州,川E,304,6,6,0,1,,
5223,贵州黔西南布依族苗族自治,黔西南布依族苗族自治,贵E,326,6,6,0,1,,
3405,安徽马鞍山,马鞍山,皖E,194,6,0,0,1,,
3705,山东东营,东营,鲁E,223,6,0,0,1,,
1405,山西晋城,晋城,晋E,132,6,0,0,1,,
2106,辽宁丹东,丹东,辽F,154,6,6,0,1,,
2205,吉林通化,通化,吉E,164,4,0,0,1,,
6325,青海海南藏族自治州,海南藏族自治州,青E,378,99,6,0,1,,
5304,云南玉溪,玉溪,云F,331,6,6,0,1,,
4606,海南洋浦开发区,洋浦开发区,琼E,,6,0,0,1,,
